"Age","ChildrenNumber","CountryCitizen","EmploymentField","EmploymentStatus","ExpectedEarning","Gender","Income","JobPref","JobRoleInterest","LanguageAtHome","MaritalStatus","SchoolDegree","StudentDebtOwe"
31,NA,"United Kingdom","office and administrative support","Employed for wages",NA,"male",NA,"freelance",NA,"English","married or domestic partnership","master's degree (non-professional)",NA
27,NA,"Belarus","software development and IT","Employed for wages",24000,"female",6000,"work for a multinational corporation","Front-End Web Developer","Russian",NA,"bachelor's degree",NA
29,NA,"United States of America","sales","Employed for wages",70000,"male",40000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",NA
28,NA,NA,NA,"Unable to work",6000,"female",NA,"work for a medium-sized company","Full-Stack Web Developer","Chinese",NA,NA,NA
NA,2,"Indonesia",NA,"Not working but looking for work",NA,"male",NA,NA,NA,"Indonesian","married or domestic partnership","master's degree (non-professional)",NA
17,NA,"Czech Republic",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Czech",NA,"some high school",NA
36,NA,"United States of America",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"English",NA,"some college credit, no degree",NA
26,NA,"United States of America",NA,"Military",NA,"male",NA,"freelance",NA,"English",NA,"associate's degree",NA
NA,NA,"India",NA,"Not working but looking for work",NA,"male",NA,"work for a startup","Mobile Developer","Malayalam",NA,"some college credit, no degree",NA
22,NA,"Canada","arts, entertainment, sports, or media","Employed for wages",35000,"male",8000,"work for a startup","Front-End Web Developer","English",NA,"some college credit, no degree",NA
31,1,"Canada","software development and IT","Employed for wages",NA,"male",40000,"start your own business",NA,"English","married or domestic partnership","bachelor's degree",NA
21,NA,"Romania",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Romanian",NA,"high school diploma or equivalent (GED)",NA
27,NA,"India","software development and IT","Employed for wages",15000,"male",10000,"work for a medium-sized company","Front-End Web Developer","Hindi","single, never married","bachelor's degree",NA
38,NA,"Uruguay","finance","Employed for wages",NA,"female",11000,"freelance",NA,"Spanish",NA,"trade, technical, or vocational training",NA
25,NA,"United States of America","software development and IT","Employed for wages",NA,"male",8250,NA,NA,"English","married or domestic partnership","some college credit, no degree",NA
36,3,"United States of America",NA,"Employed for wages",NA,"male",30000,"freelance",NA,"English","married or domestic partnership","high school diploma or equivalent (GED)",NA
37,NA,"United States of America",NA,"Not working but looking for work",85000,"female",NA,"work for a multinational corporation","Full-Stack Web Developer","English",NA,"trade, technical, or vocational training",30000
29,2,"United States of America","software development and IT","Employed for wages",NA,"male",50000,NA,NA,"English","married or domestic partnership","some college credit, no degree",2000
35,2,"United Kingdom",NA,"A stay-at-home parent or homemaker",NA,"male",NA,"start your own business",NA,"English","married or domestic partnership","some college credit, no degree",NA
38,1,"United States of America","software development and IT","Employed for wages",45000,"male",52000,"work for a startup","Full-Stack Web Developer","English","married or domestic partnership","some college credit, no degree",NA
26,1,"United States of America","education","Employed for wages",60000,"female",24000,"work for a startup","Full-Stack Web Developer","German","divorced","bachelor's degree",60000
38,2,"United States of America","software development and IT","Employed for wages",NA,"female",51500,NA,NA,"English","married or domestic partnership","master's degree (non-professional)",38000
26,NA,"Canada",NA,"Not working but looking for work",40000,"male",NA,"work for a medium-sized company","Data Scientist / Data Engineer","French",NA,"bachelor's degree",NA
30,2,"United States of America",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"English","separated","some college credit, no degree",NA
43,3,"Canada",NA,"Not working but looking for work",40000,"male",NA,"work for a medium-sized company","Back-End Web Developer","English","married or domestic partnership","trade, technical, or vocational training",NA
25,NA,"United States of America",NA,"Employed for wages",40000,"male",36000,"work for a startup","Back-End Web Developer","English",NA,"associate's degree",NA
26,NA,"United States of America","architecture or physical engineering","Employed for wages",NA,"female",38000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"some college credit, no degree",180000
26,NA,"United States of America",NA,"Not working but looking for work",40000,"male",NA,"work for a medium-sized company","Back-End Web Developer","English",NA,"some college credit, no degree",3000
21,NA,"Canada","software development and IT","Employed for wages",30000,"female",10000,"work for a multinational corporation","DevOps / SysAdmin","Chinese",NA,"high school diploma or equivalent (GED)",9000
26,NA,"United States of America","software development and IT","Self-employed freelancer",NA,"male",10000,NA,NA,"English",NA,"some college credit, no degree",NA
22,NA,"Brazil",NA,"Not working but looking for work",6000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Portuguese",NA,"high school diploma or equivalent (GED)",NA
38,2,"United States of America","software development and IT","Employed for wages",NA,"female",22000,"start your own business",NA,"English","single, never married","some college credit, no degree",7000
27,NA,"Canada",NA,"Not working but looking for work",NA,"female",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",40000
17,NA,"Bangladesh",NA,"Unable to work",NA,"female",NA,"start your own business",NA,"English",NA,"some high school",NA
20,NA,"Ukraine",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Russian",NA,"bachelor's degree",NA
13,NA,"United States of America",NA,NA,NA,"male",NA,"freelance",NA,"English",NA,"no high school (secondary school)",NA
40,3,"United States of America","software development and IT","Employed for wages",NA,"male",115000,NA,NA,"English","married or domestic partnership","associate's degree",NA
27,NA,"United States of America",NA,NA,50000,"male",NA,"work for a startup","Full-Stack Web Developer","Spanish",NA,"some college credit, no degree",18000
27,NA,"United States of America","software development and IT","Employed for wages",NA,"female",44000,NA,NA,"English",NA,"bachelor's degree",35000
43,NA,"Poland","software development and IT","Employed for wages",NA,"male",NA,"freelance",NA,"Polish",NA,"master's degree (non-professional)",NA
NA,NA,"India",NA,"A stay-at-home parent or homemaker",NA,"female",NA,NA,NA,NA,NA,"professional degree (MBA, MD, JD, etc.)",NA
21,NA,"India",NA,"Not working but looking for work",18000,"male",NA,"work for a startup","Full-Stack Web Developer","Hindi",NA,"bachelor's degree",NA
23,NA,"United States of America","architecture or physical engineering","Employed for wages",NA,"male",75000,"work for a startup","Front-End Web Developer","English",NA,"bachelor's degree",NA
17,NA,"Romania",NA,"Not working and not looking for work",50000,"male",NA,"work for a startup","Full-Stack Web Developer","Romanian",NA,"some high school",NA
33,NA,"Italy","software development and IT","Self-employed freelancer",NA,"male",NA,"freelance",NA,"Italian",NA,"master's degree (non-professional)",NA
39,NA,"Romania",NA,"Not working but looking for work",50000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Romanian",NA,"bachelor's degree",NA
18,NA,"Philippines",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Central Bicolano",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"freelance",NA,NA,NA,NA,NA
25,NA,"United States of America","education","Employed for wages",NA,"male",12000,"freelance",NA,"English",NA,"bachelor's degree",NA
NA,NA,NA,NA,NA,NA,"male",NA,"start your own business",NA,NA,NA,NA,NA
34,1,"Indonesia","office and administrative support","Employed for wages",NA,"male",17142,"freelance",NA,"Indonesian","married or domestic partnership","bachelor's degree",NA
38,NA,"Russia","education","Self-employed business owner",NA,"male",50000,"start your own business",NA,"Russian","married or domestic partnership","professional degree (MBA, MD, JD, etc.)",NA
35,NA,"Germany","sales","Self-employed business owner",NA,"male",31000,"freelance",NA,"German",NA,"trade, technical, or vocational training",NA
39,3,"United States of America","software development and IT","Employed for wages",NA,"male",98000,"freelance",NA,"English","married or domestic partnership","master's degree (non-professional)",92000
29,NA,"Mexico",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Spanish",NA,"professional degree (MBA, MD, JD, etc.)",NA
23,NA,"Nigeria",NA,"Not working but looking for work",NA,"female",NA,"start your own business",NA,"English",NA,"bachelor's degree",NA
NA,NA,"India",NA,NA,150000,NA,NA,"work for a startup","Full-Stack Web Developer","Hindi",NA,"bachelor's degree",NA
25,NA,"Venezuela","software development and IT","Self-employed freelancer",NA,"male",NA,NA,NA,"Russian",NA,"bachelor's degree",NA
38,NA,"United States of America",NA,NA,40000,"female",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",65000
NA,NA,"United States of America",NA,NA,75000,"male",NA,"work for a multinational corporation","Front-End Web Developer","Spanish",NA,"some college credit, no degree",NA
38,NA,"United States of America","office and administrative support","Employed for wages",50000,"male",25000,"work for a medium-sized company","Front-End Web Developer","English",NA,"professional degree (MBA, MD, JD, etc.)",NA
19,NA,"Philippines",NA,NA,NA,"male",NA,"freelance",NA,"Tagalog",NA,"bachelor's degree",NA
31,1,"Eritrea",NA,"Not working but looking for work",NA,"male",NA,NA,NA,"Tigrinya","married or domestic partnership","bachelor's degree",NA
16,NA,"Singapore",NA,NA,NA,"male",NA,"start your own business",NA,"Chinese",NA,"no high school (secondary school)",NA
30,NA,"India","software development and IT","Employed for wages",NA,"male",75000,NA,NA,"English","married or domestic partnership","master's degree (non-professional)",NA
20,NA,"Vietnam","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"Vietnamese","single, never married","some high school",NA
23,NA,"United States of America","education","Employed for wages",70000,"male",NA,"work for a startup","Front-End Web Developer","English",NA,"bachelor's degree",NA
16,NA,"Romania",NA,"Not working and not looking for work",NA,"male",NA,"start your own business",NA,"Romanian",NA,"no high school (secondary school)",NA
27,NA,"Grenada",NA,NA,80000,"male",NA,"work for a startup","Mobile Developer","English",NA,"high school diploma or equivalent (GED)",NA
22,NA,"China",NA,"Not working but looking for work",6000,"male",NA,"work for a multinational corporation","Full-Stack Web Developer","Chinese","single, never married","master's degree (non-professional)",NA
20,NA,NA,NA,"Not working and not looking for work",70000,"male",NA,"work for a startup","Full-Stack Web Developer","English",NA,"some college credit, no degree",NA
24,NA,"United States of America",NA,"Not working but looking for work",60000,"male",NA,"work for a startup","Front-End Web Developer","English",NA,"associate's degree",15000
23,NA,"United States of America","software development and IT","Employed for wages",NA,"female",16337,NA,NA,"English",NA,"associate's degree",NA
29,NA,"France","finance","Employed for wages",50000,"male",44000,"work for a startup","Full-Stack Web Developer","English",NA,"master's degree (non-professional)",NA
22,NA,"Saudi Arabia",NA,"Not working and not looking for work",70000,"male",NA,"work for a multinational corporation","Back-End Web Developer","Arabic",NA,"some high school",NA
26,NA,"Colombia",NA,"Not working and not looking for work",NA,"male",NA,NA,NA,"Spanish",NA,"bachelor's degree",NA
45,NA,"United States of America","software development and IT","Employed for wages",NA,"male",61000,"work for a medium-sized company","Back-End Web Developer","English",NA,"bachelor's degree",NA
22,NA,"Israel","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"Hebrew",NA,"some high school",NA
35,2,"United States of America","software development and IT","Employed for wages",1e+05,"male",90000,"work for a medium-sized company","DevOps / SysAdmin","English","married or domestic partnership","master's degree (non-professional)",NA
28,NA,"Denmark","arts, entertainment, sports, or media","Self-employed freelancer",NA,"male",40000,"start your own business",NA,"Danish",NA,"master's degree (non-professional)",15000
22,NA,"Ukraine",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Ukrainian",NA,"bachelor's degree",NA
32,1,"United States of America","software development and IT","Self-employed freelancer",NA,"male",NA,NA,NA,"English","married or domestic partnership","associate's degree",25000
39,NA,"Germany",NA,"Self-employed freelancer",NA,"male",40000,"start your own business",NA,"German",NA,"Ph.D.",10000
22,NA,"Russia","software development and IT","Employed for wages",NA,"male",8000,NA,NA,"Russian",NA,"bachelor's degree",NA
24,NA,"Ireland",NA,"Not working but looking for work",20000,"male",NA,"work for a multinational corporation","DevOps / SysAdmin","English",NA,"high school diploma or equivalent (GED)",NA
27,1,"Denmark",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Danish","married or domestic partnership","master's degree (non-professional)",40000
22,NA,"Ukraine",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Ukrainian",NA,"bachelor's degree",NA
29,NA,"United Kingdom",NA,"Military",35000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",10000
21,NA,"China",NA,"Not working but looking for work",30760,"male",NA,"work for a startup","Front-End Web Developer","Chinese",NA,"some college credit, no degree",3076
22,NA,"United States of America",NA,NA,74000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"some college credit, no degree",NA
25,1,NA,"finance","Employed for wages",60000,"male",46500,"work for a multinational corporation","Data Scientist / Data Engineer","English","married or domestic partnership","bachelor's degree",45000
12,NA,"Russia",NA,NA,NA,"male",NA,"start your own business",NA,"Russian",NA,"no high school (secondary school)",NA
20,NA,"Bosnia & Herzegovina",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Bosnian",NA,"some college credit, no degree",NA
27,NA,"Argentina","software development and IT","Employed for wages",NA,"male",18000,NA,NA,"Spanish",NA,"bachelor's degree",NA
26,NA,"United States of America",NA,"Employed for wages",NA,"male",42000,NA,NA,"English",NA,"bachelor's degree",NA
31,NA,"Peru",NA,"A stay-at-home parent or homemaker",36000,"female",NA,"work for a medium-sized company","Data Scientist / Data Engineer","Spanish",NA,"master's degree (non-professional)",NA
27,NA,"Egypt","architecture or physical engineering","Employed for wages",50000,"male",50000,"work for a medium-sized company","Full-Stack Web Developer","Arabic",NA,"bachelor's degree",NA
25,NA,"United States of America",NA,"Doing an unpaid internship",NA,"female",NA,NA,NA,"English",NA,"bachelor's degree",60000
38,NA,"Russia",NA,"Self-employed freelancer",NA,"male",12000,"start your own business",NA,"Russian","single, never married","master's degree (non-professional)",NA
33,NA,"Spain",NA,"Employed for wages",NA,"male",35000,"freelance",NA,"Spanish",NA,"professional degree (MBA, MD, JD, etc.)",NA
26,2,"United States of America","software development and IT","Employed for wages",45000,"male",32000,"work for a medium-sized company","Front-End Web Developer","English","married or domestic partnership","associate's degree",NA
27,NA,"India","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"Marathi",NA,"bachelor's degree",NA
25,NA,"United States of America",NA,"Not working but looking for work",NA,"female",NA,"start your own business",NA,"English",NA,"bachelor's degree",6000
21,NA,"Egypt",NA,"Not working but looking for work",NA,"male",NA,NA,NA,"Arabic",NA,"high school diploma or equivalent (GED)",NA
27,NA,"China",NA,"Employed for wages",70000,"female",40000,"work for a startup","Full-Stack Web Developer","Mandarin Chinese",NA,"bachelor's degree",NA
24,NA,"United States of America","software development and IT","Employed for wages",75000,"male",45000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"high school diploma or equivalent (GED)",NA
21,NA,NA,NA,"Not working but looking for work",12000,"male",NA,"work for a startup","Full-Stack Web Developer","Hindi",NA,"bachelor's degree",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,"United States of America","software development and IT","Self-employed business owner",NA,"male",35000,NA,NA,"English",NA,"bachelor's degree",NA
37,NA,"United States of America",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"English",NA,"professional degree (MBA, MD, JD, etc.)",30000
12,NA,"Brazil",NA,NA,NA,"female",NA,"freelance",NA,"Spanish",NA,"some high school",NA
31,NA,"Argentina","sales","Employed for wages",80000,"male",25000,"work for a multinational corporation","Front-End Web Developer","Korean",NA,"high school diploma or equivalent (GED)",NA
20,NA,"Canada",NA,"Not working but looking for work",40000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"some college credit, no degree",NA
22,NA,"United States of America","software development and IT","Employed for wages",NA,"male",30000,"start your own business",NA,"English",NA,"some college credit, no degree",40000
21,NA,"Vietnam",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Vietnamese",NA,"high school diploma or equivalent (GED)",NA
25,NA,"Ukraine",NA,NA,NA,"female",NA,NA,NA,"Russian",NA,"master's degree (non-professional)",NA
32,NA,"Slovenia","software development and IT","Employed for wages",NA,"male",120000,NA,NA,"Slovene","married or domestic partnership","high school diploma or equivalent (GED)",NA
34,1,"Brazil","software development and IT","Self-employed freelancer",NA,"male",29000,"start your own business",NA,"Portuguese","married or domestic partnership","associate's degree",NA
30,NA,"Poland",NA,"Not working but looking for work",10000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Polish",NA,NA,NA
53,2,"United States of America",NA,"Employed for wages",NA,"female",17000,"freelance",NA,"English","divorced","trade, technical, or vocational training",NA
20,NA,"Brazil","software development and IT","Employed for wages",NA,"male",12000,NA,NA,"Portuguese",NA,"high school diploma or equivalent (GED)",1000
26,NA,"Saudi Arabia","food and beverage","Employed for wages",40000,"male",9600,"work for a startup","Mobile Developer","Arabic",NA,"bachelor's degree",NA
31,NA,"United States of America","food and beverage","Employed for wages",75000,"male",10000,"work for a startup","Mobile Developer","English",NA,"bachelor's degree",1e+05
26,NA,"United States of America","arts, entertainment, sports, or media","Employed for wages",NA,"female",45000,"freelance",NA,"English",NA,"master's degree (non-professional)",40000
39,2,"Canada","software development and IT","Employed for wages",NA,"female",60000,NA,NA,"English","married or domestic partnership","bachelor's degree",400
47,NA,"United States of America",NA,NA,NA,"male",NA,NA,NA,"English",NA,"bachelor's degree",NA
31,1,"Canada","arts, entertainment, sports, or media","Employed for wages",NA,"male",44000,"work for a medium-sized company","Front-End Web Developer","English","married or domestic partnership","bachelor's degree",5000
21,NA,"Italy",NA,"Not working and not looking for work",NA,"male",NA,"start your own business",NA,"Italian",NA,"high school diploma or equivalent (GED)",NA
17,NA,"United Kingdom",NA,NA,NA,"male",NA,"start your own business",NA,"Polish",NA,"high school diploma or equivalent (GED)",NA
12,NA,"United States of America",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"English",NA,NA,NA
23,NA,"Iceland","software development and IT","Employed for wages",NA,"male",8000,NA,NA,"Icelandic",NA,"bachelor's degree",17000
20,NA,"India",NA,NA,15000,"male",NA,"work for a multinational corporation","Front-End Web Developer","Hindi",NA,"some high school",NA
33,1,"United States of America","office and administrative support","Employed for wages",60000,"female",42500,"work for a medium-sized company","Front-End Web Developer","Spanish","separated","some college credit, no degree",NA
17,NA,"Kenya",NA,NA,NA,"male",NA,NA,NA,"Swahili",NA,NA,NA
20,NA,"India",NA,"Doing an unpaid internship",18000,"male",NA,"work for a startup","Back-End Web Developer","Tamil",NA,"some high school",6000
24,NA,"Canada","software development and IT","Employed for wages",NA,"female",43260,NA,NA,"English",NA,"bachelor's degree",NA
33,2,"Brazil",NA,"Not working but looking for work",45000,"male",NA,"work for a startup","Mobile Developer","Portuguese","married or domestic partnership","some college credit, no degree",NA
23,NA,"Slovakia",NA,"Not working but looking for work",20000,"male",NA,"work for a medium-sized company","User Experience Designer","Slovak",NA,"high school diploma or equivalent (GED)",NA
29,NA,"United States of America","health care","Employed for wages",NA,"male",30000,"start your own business",NA,"English",NA,"associate's degree",NA
26,NA,"United States of America",NA,"Not working but looking for work",60000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Russian",NA,"some college credit, no degree",NA
30,NA,"Mexico","software development and IT","Self-employed freelancer",50000,"male",20000,"work for a multinational corporation","Front-End Web Developer","Spanish","married or domestic partnership","bachelor's degree",NA
23,NA,"United States of America",NA,"Not working but looking for work",50000,"male",NA,"work for a startup","Mobile Developer","English",NA,"associate's degree",7000
25,NA,"India","software development and IT","Employed for wages",NA,"male",70000,NA,NA,"Hindi","single, never married","bachelor's degree",NA
23,NA,"Canada",NA,"Not working but looking for work",NA,"male",NA,"work for a medium-sized company","Front-End Web Developer","English",NA,"bachelor's degree",11000
20,NA,"India",NA,"Not working but looking for work",15000,"male",NA,"work for a multinational corporation","Full-Stack Web Developer","Bengali",NA,"some high school",NA
47,NA,"Canada",NA,NA,NA,"male",NA,"freelance",NA,"English",NA,"bachelor's degree",NA
36,1,"United States of America","architecture or physical engineering","Employed for wages",NA,"male",52000,"start your own business",NA,"English","married or domestic partnership","associate's degree",NA
25,NA,"India",NA,"Not working but looking for work",80000,"female",NA,"work for a startup","Back-End Web Developer","English",NA,"bachelor's degree",NA
28,1,"Brazil",NA,NA,15000,"male",NA,"work for a multinational corporation","Mobile Developer","Portuguese","married or domestic partnership","bachelor's degree",NA
22,NA,"Brazil",NA,NA,NA,"male",NA,NA,NA,"Portuguese","single, never married","some high school",8000
14,NA,"United States of America",NA,NA,NA,"male",NA,"start your own business",NA,"English",NA,"some high school",NA
24,NA,"Nigeria","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"English","single, never married","trade, technical, or vocational training",NA
30,NA,"Paraguay",NA,NA,NA,"male",NA,NA,NA,"Spanish",NA,"some college credit, no degree",NA
17,NA,"United Kingdom",NA,NA,NA,"male",NA,"freelance",NA,"English",NA,"some high school",NA
32,NA,"United States of America",NA,"Not working but looking for work",60000,"female",NA,"work for a medium-sized company","User Experience Designer","Vietnamese",NA,"master's degree (non-professional)",NA
25,NA,"United States of America",NA,"Not working but looking for work",NA,"female",NA,"start your own business",NA,"English",NA,"bachelor's degree",NA
27,NA,"United States of America",NA,"Employed for wages",60000,"male",NA,"work for a multinational corporation","Full-Stack Web Developer","English","married or domestic partnership","bachelor's degree",NA
37,NA,"Malaysia",NA,"Not working but looking for work",40000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"master's degree (non-professional)",NA
20,NA,"United States of America",NA,"Employed for wages",50000,"male",10000,"work for a startup",NA,"English",NA,"some college credit, no degree",10000
27,NA,"United States of America","sales","Employed for wages",65000,"male",14000,"work for a medium-sized company","Back-End Web Developer","English",NA,"some college credit, no degree",NA
39,NA,"United States of America",NA,"A stay-at-home parent or homemaker",NA,"female",NA,"freelance",NA,"English",NA,"bachelor's degree",NA
31,NA,"Brazil",NA,"Not working but looking for work",NA,"male",NA,NA,NA,"Portuguese",NA,"bachelor's degree",NA
44,3,"United Kingdom",NA,"A stay-at-home parent or homemaker",NA,"male",NA,"freelance",NA,"English","separated","bachelor's degree",15000
21,NA,"Russia",NA,NA,60000,"male",NA,"work for a medium-sized company","Front-End Web Developer","Russian",NA,"associate's degree",NA
30,NA,"United States of America",NA,"Employed for wages",75000,"female",50000,"work for a medium-sized company","Data Scientist / Data Engineer","English",NA,"bachelor's degree",NA
25,NA,"United States of America","office and administrative support","Employed for wages",60000,"female",24000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"some college credit, no degree",NA
51,5,"United States of America","sales","Self-employed business owner",NA,"male",120000,"freelance",NA,"English","married or domestic partnership","master's degree (non-professional)",NA
28,NA,"Germany","software development and IT","Employed for wages",24000,"male",18000,"work for a medium-sized company","Back-End Web Developer","German",NA,"high school diploma or equivalent (GED)",NA
21,NA,"Lithuania",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Lithuanian",NA,"no high school (secondary school)",NA
31,NA,"Spain","sales","Employed for wages",40000,"male",70000,"work for a startup","Full-Stack Web Developer","English",NA,"master's degree (non-professional)",NA
26,NA,"Poland","food and beverage","Employed for wages",33000,"male",13000,"work for a medium-sized company","Front-End Web Developer","Polish",NA,"some high school",NA
34,NA,"Greece","software development and IT","Employed for wages",NA,"male",10517,NA,NA,"Greek","single, never married","bachelor's degree",NA
30,NA,"United States of America","software development and IT","Employed for wages",NA,"male",71000,"work for a startup","DevOps / SysAdmin","English",NA,"bachelor's degree",NA
26,NA,"Iran","software development and IT","Employed for wages",NA,"female",NA,NA,NA,"Persian",NA,"bachelor's degree",NA
40,1,"United Kingdom","office and administrative support","Employed for wages",NA,"male",NA,"start your own business",NA,"Spanish","married or domestic partnership","high school diploma or equivalent (GED)",NA
26,NA,"United States of America",NA,"Not working but looking for work",40000,"male",NA,"work for a medium-sized company",NA,"English",NA,"associate's degree",13000
41,3,"United States of America",NA,"Not working but looking for work",35000,"female",NA,"work for a medium-sized company","Full-Stack Web Developer","English","divorced","trade, technical, or vocational training",20000
19,NA,"Slovakia",NA,NA,25000,"male",NA,"work for a multinational corporation","Back-End Web Developer","Slovak",NA,"high school diploma or equivalent (GED)",NA
38,NA,"Poland",NA,"Not working but looking for work",NA,"male",NA,"work for a medium-sized company","Back-End Web Developer","Polish",NA,"some college credit, no degree",NA
23,NA,"India",NA,"Not working but looking for work",50000,"male",NA,"work for a startup","User Experience Designer","English",NA,"some college credit, no degree",NA
40,2,"Costa Rica",NA,"Employed for wages",NA,"male",12000,"start your own business",NA,"Spanish","married or domestic partnership","trade, technical, or vocational training",NA
27,NA,"Mexico","software development and IT","Employed for wages",NA,"male",10000,NA,NA,"Spanish","single, never married","bachelor's degree",NA
51,2,"United States of America",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"English","married or domestic partnership","associate's degree",NA
32,NA,"Argentina","software development and IT","Employed for wages",NA,"male",8000,NA,NA,"Spanish",NA,"some high school",NA
30,NA,"United States of America",NA,"Employed for wages",60000,"male",65000,"work for a startup","Full-Stack Web Developer","English",NA,"bachelor's degree",NA
26,NA,"Germany",NA,"Not working but looking for work",NA,"female",NA,"freelance",NA,"German",NA,"some college credit, no degree",NA
25,NA,"India","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"Urdu","single, never married","professional degree (MBA, MD, JD, etc.)",NA
27,NA,"United States of America",NA,"Not working but looking for work",70000,"female",NA,"work for a startup","Full-Stack Web Developer","Amharic",NA,"bachelor's degree",32000
21,NA,"Russia",NA,NA,NA,"male",NA,NA,NA,"Russian",NA,"Ph.D.",NA
15,NA,"United States of America",NA,"Unable to work",NA,"male",NA,"freelance",NA,"English",NA,"high school diploma or equivalent (GED)",NA
17,NA,"United Kingdom",NA,NA,30000,"male",NA,"work for a startup","Front-End Web Developer","English",NA,"some high school",NA
22,NA,"United States of America","food and beverage","Employed for wages",75000,"male",12000,"work for a multinational corporation","Front-End Web Developer","Russian",NA,"bachelor's degree",125000
49,1,"United States of America","software development and IT","Employed for wages",NA,"male",105000,NA,NA,"English","married or domestic partnership","master's degree (non-professional)",NA
17,NA,"Poland",NA,"Not working and not looking for work",45000,"female",NA,"work for a startup","User Experience Designer","Polish",NA,"some high school",NA
29,NA,"United States of America",NA,NA,NA,"female",NA,"freelance",NA,"English",NA,"professional degree (MBA, MD, JD, etc.)",30000
24,NA,"Kenya",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Swahili",NA,"bachelor's degree",NA
56,NA,"United States of America","software development and IT","Employed for wages",NA,"male",84000,NA,NA,"English",NA,"bachelor's degree",NA
21,NA,"United States of America",NA,"Not working and not looking for work",NA,"male",NA,"start your own business",NA,"English",NA,"high school diploma or equivalent (GED)",NA
27,NA,"Ukraine",NA,"Not working but looking for work",60000,"male",NA,"work for a medium-sized company","Front-End Web Developer","Russian",NA,"bachelor's degree",NA
22,NA,"United States of America","arts, entertainment, sports, or media","Employed for wages",NA,"female",42014,NA,NA,"English",NA,"bachelor's degree",NA
24,NA,"Finland",NA,"Not working but looking for work",30000,"male",NA,"work for a medium-sized company","Data Scientist / Data Engineer","Finnish",NA,"some college credit, no degree",NA
21,NA,"United States of America",NA,"Not working but looking for work",50000,"male",NA,"work for a multinational corporation","Front-End Web Developer","English",NA,"some college credit, no degree",7000
37,NA,"India",NA,"Not working but looking for work",80000,"female",NA,"work for a medium-sized company","Full-Stack Web Developer","Hindi",NA,"master's degree (non-professional)",NA
31,2,"India","software development and IT","Employed for wages",NA,"male",10000,NA,NA,"Tamil","married or domestic partnership","professional degree (MBA, MD, JD, etc.)",NA
25,NA,"Nigeria",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Igbo",NA,"master's degree (non-professional)",NA
50,4,"Canada","software development and IT","Employed for wages",NA,"male",150000,NA,NA,"English","married or domestic partnership","bachelor's degree",NA
25,NA,"United States of America","office and administrative support","Employed for wages",30000,"male",20000,"work for a startup","Full-Stack Web Developer","English",NA,"high school diploma or equivalent (GED)",300
35,2,"Hungary","software development and IT","Employed for wages",NA,"male",50000,"start your own business",NA,"English","married or domestic partnership","bachelor's degree",NA
30,1,"Egypt","education","Employed for wages",75000,"female",20000,"work for a multinational corporation","Data Scientist / Data Engineer","Egyptian Arabic","married or domestic partnership","master's degree (non-professional)",24000
19,NA,"Kyrgyzstan",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Russian",NA,"some college credit, no degree",NA
